DATE,BSCICP03USM665S
1992-07-01,100.063504673951
1992-08-01,99.8305781434922
1992-09-01,99.5899465154889
1992-10-01,99.6339747851961
1992-11-01,99.9343395724077
1992-12-01,100.223926592889
1993-01-01,100.38905744743
1993-02-01,100.305828342505
1993-03-01,100.010781212102
1993-04-01,99.6582070815086
1993-05-01,99.4584035978184
1993-06-01,99.3376575842619
1993-07-01,99.3479247591269
1993-08-01,99.451773772944
1993-09-01,99.6380447747608
1993-10-01,99.9229385159409
1993-11-01,100.18473297187
1993-12-01,100.424567812381
1994-01-01,100.588600439914
1994-02-01,100.705948372427
1994-03-01,100.808607109954
1994-04-01,100.919040319707
1994-05-01,101.031471592644
1994-06-01,101.106389351332
1994-07-01,101.126016565191
1994-08-01,101.145318732955
1994-09-01,101.209413798234
1994-10-01,101.229331864136
1994-11-01,101.127796363225
1994-12-01,100.903256485705
1995-01-01,100.689447433291
1995-02-01,100.329313967505
1995-03-01,99.8616585678945
1995-04-01,99.3985595567834
1995-05-01,98.9633977931855
1995-06-01,98.8280299427774
1995-07-01,98.9405443123816
1995-08-01,98.8927277121891
1995-09-01,98.8149570152692
1995-10-01,98.6684613109267
1995-11-01,98.5329688368536
1995-12-01,98.4593759541468
1996-01-01,98.4373386331951
1996-02-01,98.5318282069566
1996-03-01,98.7582553272468
1996-04-01,99.0719308850706
1996-05-01,99.3515151255641
1996-06-01,99.5890450547278
1996-07-01,99.568374951887
1996-08-01,99.572089499072
1996-09-01,99.5836565664542
1996-10-01,99.682477512102
1996-11-01,99.9273819969824
1996-12-01,100.131881298174
1997-01-01,100.143954412067
1997-02-01,100.103276470682
1997-03-01,100.135318898452
1997-04-01,100.245113988947
1997-05-01,100.432125841763
1997-06-01,100.559467648504
1997-07-01,100.670592804525
1997-08-01,100.610101619914
1997-09-01,100.500269622116
1997-10-01,100.507712011224
1997-11-01,100.449512693216
1997-12-01,100.31047247893
1998-01-01,100.15439503741
1998-02-01,100.01127562791
1998-03-01,99.8864651767561
1998-04-01,99.7149010751346
1998-05-01,99.4859176302458
1998-06-01,99.267896802264
1998-07-01,99.1644125434244
1998-08-01,99.1124991555401
1998-09-01,99.0490984194117
1998-10-01,98.9839606062345
1998-11-01,98.9371194725883
1998-12-01,99.0040300736138
1999-01-01,99.2974717790434
1999-02-01,99.5868109428502
1999-03-01,99.8020888917007
1999-04-01,99.9755466199036
1999-05-01,100.173260205221
1999-06-01,100.300695457144
1999-07-01,100.324746802036
1999-08-01,100.461116384063
1999-09-01,100.688535002786
1999-10-01,100.864244013418
1999-11-01,100.958304425605
