"Net migration rate (per 1,000 people)"
"HDI Rank (2018)","Country","1990","","1995","","2000","","2005","","2010","","2015","","2020",""
"22","Israel","3.1","","18.6","","8.7","","3.3","","7.9","","0.5"," a","1.2"," b"
"29","Italy","-0.0","","0.5","","-1.0","","5.8","","3.6","","5.5"," a","2.5"," b"
"96","Jamaica","-12.4","","-8.9","","-7.2","","-6.8","","-6.3","","-4.0"," a","-3.9"," b"
"19","Japan","-0.5","","0.1","","-0.2","","0.3","","0.4","","0.6"," a","0.6"," b"
"102","Jordan","10.6","","20.2","","-6.2","","-3.5","","20.0","","25.6"," a","1.1"," b"
"50","Kazakhstan","-8.4","","-17.9","","-16.4","","0.6","","-0.4","","1.9"," a","-1.0"," b"
"147","Kenya","0.0","","1.7","","-0.1","","0.1","","-1.0","","-0.2"," a","-0.2"," b"
"132","Kiribati","-1.9","","-11.8","","-6.9","","-4.4","","-0.6","","-7.7"," a","-6.9"," b"
"..","Korea (Democratic People's Rep. of)","0.0","","0.0","","-0.1","","-0.1","","-0.2","","-0.2"," a","-0.2"," b"
"22","Korea (Republic of)","0.8","","0.3","","0.7","","0.3","","-0.6","","1.6"," a","0.2"," b"
"57","Kuwait","12.5","","-70.8","","26.5","","2.5","","36.4","","34.0"," a","9.8"," b"
"122","Kyrgyzstan","-6.1","","-12.4","","-1.1","","-6.9","","-2.9","","-3.3"," a","-0.6"," b"
"140","Lao People's Democratic Republic","0.0","","-2.7","","-5.3","","-5.3","","-3.7","","-3.5"," a","-2.1"," b"
"39","Latvia","3.2","","-9.0","","-3.8","","-6.3","","-7.9","","-8.1"," a","-7.6"," b"
"93","Lebanon","-9.4","","24.6","","-1.6","","25.8","","-1.1","","41.5"," a","-4.5"," b"
"164","Lesotho","-5.0","","-0.9","","-3.8","","-16.0","","-9.3","","-4.7"," a","-4.8"," b"
"176","Liberia","-34.1","","-28.2","","37.8","","-3.3","","9.9","","1.2"," a","-1.0"," b"
"110","Libya","0.3","","0.2","","-2.2","","-0.7","","-4.0","","-9.5"," a","-0.3"," b"
"34","Lithuania","2.0","","-5.5","","-5.3","","-5.8","","-9.3","","-9.7"," a","-11.6"," b"
"21","Luxembourg","6.9","","10.1","","9.4","","6.5","","17.5","","18.1"," a","16.3"," b"
"162","Madagascar","-0.2","","-0.2","","-0.1","","-0.1","","-0.1","","-0.1"," a","-0.1"," b"
"172","Malawi","21.0","","-17.9","","-1.1","","-1.0","","-0.9","","-1.0"," a","-0.9"," b"
"61","Malaysia","5.1"," h","3.0"," h","4.7"," h","5.5"," h","5.7"," h","1.7"," a,h","1.6"," b,h"
"104","Maldives","-2.5","","-2.6","","-0.8","","11.6","","10.5","","28.4"," a","22.8"," b"
"184","Mali","-12.1","","-3.8","","-2.8","","-1.1","","-1.4","","-3.7"," a","-2.1"," b"
"28","Malta","0.7","","0.9","","3.3","","2.8","","2.8","","7.3"," a","2.1"," b"
"161","Mauritania","-4.2","","-4.1","","-3.6","","-0.7","","0.6","","1.3"," a","1.1"," b"
"66","Mauritius","-6.9"," i","-1.0"," i","-1.5"," i","-3.2"," i","-2.0"," i","-1.9"," a,i","0.0"," b,i"
"76","Mexico","-4.6","","-4.6","","-4.8","","-4.3","","-1.0","","-0.7"," a","-0.5"," b"
"135","Micronesia (Federated States of)","-4.2","","-3.3","","-23.8","","-23.0","","-23.5","","-5.7"," a","-5.4"," b"
"107","Moldova (Republic of)","-3.9"," j","-6.1"," j","-7.7"," j","-0.6"," j","-2.3"," j","-0.3"," a,j","-0.3"," b,j"
"92","Mongolia","0.0","","-7.9","","-4.5","","-1.2","","-0.8","","-0.3"," a","-0.3"," b"
"52","Montenegro","-9.8","","-6.6","","-7.0","","-2.6","","-0.2","","-1.0"," a","-0.8"," b"
"121","Morocco","-3.6","","-3.6","","-3.8","","-4.4","","-3.6","","-2.2"," a","-1.4"," b"
"180","Mozambique","-20.8","","9.0","","-0.6","","0.3","","-0.4","","-0.2"," a","-0.2"," b"
"145","Myanmar","-1.0","","-3.3","","-2.4","","-5.1","","-5.4","","-2.0"," a","-3.0"," b"
"130","Namibia","5.8","","-2.3","","-2.5","","-0.1","","0.9","","-3.3"," a","-2.0"," b"
"147","Nepal","-2.4","","0.8","","-4.1","","-6.2","","-7.4","","-15.1"," a","1.5"," b"
"10","Netherlands","1.9","","2.5","","2.3","","1.8","","0.8","","0.7"," a","0.9"," b"
"14","New Zealand","-0.6","","6.7","","2.3","","6.7","","2.9","","4.0"," a","3.2"," b"
"126","Nicaragua","-7.6","","-5.4","","-6.0","","-6.6","","-5.5","","-4.5"," a","-3.3"," b"
"189","Niger","-2.1","","-0.1","","-0.2","","-0.2","","-0.3","","0.2"," a","0.2"," b"
"158","Nigeria","-0.2","","-0.2","","-0.2","","-0.3","","-0.4","","-0.4"," a","-0.3"," b"
"82","North Macedonia","-9.9","","-10.1","","-0.5","","-1.4","","-0.7","","-0.9"," a","-0.5"," b"
"1","Norway","1.8"," k","2.2"," k","2.7"," k","3.0"," k","6.9"," k","8.8"," a,k","5.3"," b,k"
"47","Oman","1.3","","10.4","","-17.3","","1.3","","19.2","","48.5"," a","18.6"," b"
"152","Pakistan","0.3","","-1.8","","0.7","","-0.9","","-0.4","","-1.1"," a","-1.1"," b"
"119","Palestine, State of","-4.1"," l","3.0"," l","4.8"," l","-11.2"," l","-5.4"," l","-7.3"," a,l","-2.2"," b,l"
"67","Panama","-0.8","","0.1","","0.7","","1.0","","1.3","","1.5"," a","2.7"," b"
"155","Papua New Guinea","0.2","","-0.9","","-0.9","","-2.7","","1.1","","-0.1"," a","-0.1"," b"
"98","Paraguay","-0.9","","-1.4","","-1.7","","-1.7","","-3.9","","-2.7"," a","-2.4"," b"
"82","Peru","-2.7","","-3.1","","-2.0","","-6.7","","-8.5","","-4.2"," a","3.1"," b"
"106","Philippines","-1.1","","-2.1","","-2.6","","-3.0","","-3.4","","-1.7"," a","-0.6"," b"
"32","Poland","-1.6","","-0.8","","-0.4","","-1.0","","-0.9","","-1.7"," a","-0.8"," b"
"40","Portugal","-3.0","","3.0","","3.4","","3.4","","1.7","","-2.7"," a","-0.6"," b"
"41","Qatar","27.2","","-4.1","","10.7","","58.7","","134.4","","54.7"," a","14.7"," b"
"52","Romania","-1.7","","-4.5","","-5.2","","-4.3","","-7.4","","-3.0"," a","-3.8"," b"
"49","Russian Federation","1.2","","3.4","","3.2","","2.5","","3.2","","2.5"," a","1.3"," b"
"157","Rwanda","0.9","","-41.9","","36.2","","-1.7","","-1.7","","-2.0"," a","-0.7"," b"
"89","Saint Lucia","-6.5","","-7.1","","-2.0","","-1.0","","5.2","","0.0"," a","0.0"," b"
"94","Saint Vincent and the Grenadines","-13.6","","-16.2","","-14.8","","-9.8","","-10.5","","-5.4"," a","-1.8"," b"
"111","Samoa","-24.2","","-16.8","","-19.9","","-17.7","","-16.5","","-12.8"," a","-14.3"," b"
"137","Sao Tome and Principe","-3.9","","-8.9","","-13.9","","-11.2","","-4.0","","-8.8"," a","-8.0"," b"
"36","Saudi Arabia","9.8","","-1.3","","-3.6","","6.7","","8.4","","11.7"," a","4.1"," b"
"166","Senegal","-1.7","","-1.9","","-4.9","","-3.9","","-3.7","","-3.1"," a","-1.3"," b"
"63","Serbia","-0.6"," m","3.7"," m","-10.2"," m","-5.9"," m","-2.6"," m","0.7"," a,m","0.5"," b,m"
"62","Seychelles","-14.8","","1.4","","-0.6","","6.2","","-6.1","","-2.1"," a","-2.1"," b"
"181","Sierra Leone","3.1","","-20.9","","-6.8","","19.6","","2.0","","-0.6"," a","-0.6"," b"
"9","Singapore","8.4","","18.2","","17.0","","4.5","","30.7","","11.8"," a","4.7"," b"
"36","Slovakia","-1.4","","-0.6","","-0.1","","0.0","","-0.3","","0.4"," a","0.3"," b"
"24","Slovenia","3.3","","-1.7","","0.1","","1.5","","3.9","","1.6"," a","1.0"," b"
"153","Solomon Islands","-5.8","","-4.0","","-2.7","","-3.8","","-5.7","","-2.8"," a","-2.5"," b"
"..","Somalia","-11.8","","-22.3","","0.0","","0.0","","-3.6","","-3.6"," a","-2.7"," b"
"113","South Africa","-0.7","","4.4","","3.0","","3.4","","3.5","","3.5"," a","2.5"," b"
"186","South Sudan","-15.5","","-41.4","","10.6","","12.6","","19.9","","-2.0"," a","-15.9"," b"
"25","Spain","-0.3"," n","1.6"," n","4.6"," n","13.7"," n","10.0"," n","-2.2"," a,n","0.9"," b,n"
"71","Sri Lanka","-1.6","","-2.9","","-5.0","","-4.7","","-5.2","","-4.7"," a","-4.6"," b"
"168","Sudan","1.6","","5.8","","-4.7","","-3.8","","-6.0","","-2.9"," a","-1.2"," b"
"98","Suriname","-2.5","","-2.5","","-4.5","","-3.8","","-2.5","","-1.8"," a","-1.7"," b"
"8","Sweden","3.2","","3.6","","1.3","","3.2","","5.7","","5.3"," a","4.0"," b"
"2","Switzerland","4.0","","7.3","","1.8","","5.1","","9.1","","9.9"," a","6.1"," b"
"154","Syrian Arab Republic","-2.5","","-1.0","","-1.7","","-4.4","","3.7","","-54.7"," a","-24.1"," b"
"125","Tajikistan","-1.3","","-8.4","","-7.9","","-4.5","","-4.1","","-3.4"," a","-2.2"," b"
"159","Tanzania (United Republic of)","0.6"," o","4.3"," o","-2.5"," o","-1.7"," o","-2.4"," o","-1.0"," a,o","-0.7"," b,o"
"77","Thailand","1.9","","-2.1","","2.3","","1.2","","0.2","","0.5"," a","0.3"," b"
"131","Timor-Leste","0.0","","0.0","","-18.9","","-5.9","","-7.3","","-4.9"," a","-4.3"," b"
"167","Togo","-1.1","","-5.8","","3.5","","-1.3","","-0.4","","-0.3"," a","-0.3"," b"
"105","Tonga","-22.8","","-23.0","","-17.4","","-15.8","","-15.2","","-25.4"," a","-7.7"," b"
"63","Trinidad and Tobago","-7.6","","-5.3","","-5.4","","-2.7","","-2.8","","-0.6"," a","-0.6"," b"
"91","Tunisia","1.3","","3.2","","-0.8","","-2.9","","-0.8","","-2.8"," a","-0.3"," b"
"59","Turkey","-0.4","","-0.4","","-0.3","","-0.1","","-0.1","","4.7"," a","3.5"," b"
"108","Turkmenistan","-2.3","","2.2","","-3.0","","-5.4","","-2.5","","-1.9"," a","-0.9"," b"
"159","Uganda","2.5","","1.2","","-1.6","","-1.9","","-3.3","","-1.7"," a","4.0"," b"
"88","Ukraine","0.0"," p","0.3"," p","-1.9"," p","-0.7"," p","1.2"," p","0.6"," a,p","0.2"," b,p"
"35","United Arab Emirates","32.1","","34.7","","35.9","","61.6","","109.4","","6.1"," a","4.2"," b"
"15","United Kingdom","0.3","","0.7","","1.8","","3.3","","7.1","","4.0"," a","3.9"," b"
"15","United States","2.7","","3.5","","6.5","","3.7","","3.6","","3.2"," a","2.9"," b"
"57","Uruguay","-2.0","","-1.3","","-1.6","","-6.3","","-3.0","","-1.8"," a","-0.9"," b"
"108","Uzbekistan","-3.7","","-3.0","","-2.0","","-1.9","","-1.0","","-0.4"," a","-0.3"," b"
"141","Vanuatu","-5.2","","-1.2","","-8.4","","-2.6","","-2.9","","1.4"," a","0.4"," b"
"96","Venezuela (Bolivarian Republic of)","0.0","","-0.0","","-0.0","","-0.2","","-1.5","","-2.9"," a","-22.3"," b"
"118","Viet Nam","-1.0","","-1.1","","-0.6","","-1.6","","-1.9","","-0.9"," a","-0.8"," b"
"177","Yemen","-0.9","","9.1","","-1.2","","-1.2","","-0.6","","-0.6"," a","-1.1"," b"
"143","Zambia","-2.0","","-3.5","","0.4","","-2.7","","-2.7","","-0.7"," a","-0.5"," b"
