"International student mobility (% of total tertiary enrolment)"
"25","Spain","0.7","","-0.4","","1.6","","1.8","","1.3","","1.3","","..","","..","","0.8","","..",""
"71","Sri Lanka","..","","..","","..","","-6.7","","-5.9","","-5.1","","-5.1","","-5.3","","-6.0","","-6.1",""
"8","Sweden","3.8","","1.6","","3.5","","4.3","","2.4","","1.7","","1.8","","2.2","","2.5","","..",""
"2","Switzerland","11.9","","13.5","","10.7","","11.6","","12.1","","12.5","","12.8","","12.9","","13.1","","..",""
"125","Tajikistan","3.2","","-1.4","","-2.5","","-2.7","","-2.8","","-4.4","","-5.6","","-6.2","","-7.8","","-7.0",""
"77","Thailand","..","","-0.9","","-0.4","","-0.3","","-0.3","","..","","..","","..","","0.1","","..",""
"63","Trinidad and Tobago","-36.4","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"91","Tunisia","-4.9","","..","","-4.7","","-4.8","","-4.8","","-3.2","","..","","-3.9","","-4.7","","-4.9",""
"59","Turkey","..","","-0.8","","-0.6","","-0.4","","-0.2","","0.2","","0.0","","0.4","","0.6","","..",""
"108","Turkmenistan","..","","..","","..","","..","","..","","..","","-106.8","","..","","..","","..",""
"159","Uganda","..","","..","","..","","7.2","","..","","..","","..","","..","","..","","..",""
"88","Ukraine","..","","0.0","","0.1","","0.1","","0.3","","0.3","","0.5","","-0.6","","-1.4","","-1.5",""
"35","United Arab Emirates","..","","..","","..","","35.4","","37.5","","38.1","","38.2","","39.9","","41.3","","..",""
"15","United Kingdom","10.0","","12.9","","14.7","","15.7","","16.1","","16.3","","16.9","","17.1","","16.7","","..",""
"15","United States","3.3","","3.1","","3.1","","3.1","","3.2","","3.6","","3.9","","4.3","","4.7","","..",""
"108","Uzbekistan","..","","..","","-8.3","","-8.2","","-7.3","","-7.6","","-9.8","","-10.4","","-12.1","","-11.6",""
"118","Viet Nam","-1.2","","-1.3","","-2.2","","-2.2","","-2.2","","-2.3","","-2.1","","-2.6","","-3.3","","..",""
"177","Yemen","..","","..","","..","","-0.8","","..","","..","","..","","..","","..","","..",""
"150","Zimbabwe","..","","..","","-26.0","","-30.4","","-17.1","","..","","..","","-12.1","","..","","..",""
"149","Angola","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"60","Bahamas","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"103","Belize","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"114","Bolivia (Plurinational State of)","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"134","Bhutan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"98","Dominica","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"173","Ethiopia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"98","Fiji","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"135","Micronesia (Federated States of)","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"115","Gabon","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"174","Gambia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"178","Guinea-Bissau","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"144","Equatorial Guinea","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"126","Guatemala","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"169","Haiti","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"146","Cambodia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"132","Kiribati","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"57","Kuwait","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"176","Liberia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"110","Libya","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"104","Maldives","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"52","Montenegro","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"158","Nigeria","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"126","Nicaragua","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"152","Pakistan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"67","Panama","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"82","Peru","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"55","Palau","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"155","Papua New Guinea","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"98","Paraguay","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"168","Sudan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"153","Solomon Islands","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"181","Sierra Leone","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"186","South Sudan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"137","Sao Tome and Principe","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"98","Suriname","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"154","Syrian Arab Republic","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"167","Togo","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"131","Timor-Leste","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"105","Tonga","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"159","Tanzania (United Republic of)","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"57","Uruguay","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"94","Saint Vincent and the Grenadines","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"96","Venezuela (Bolivarian Republic of)","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"141","Vanuatu","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"143","Zambia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"","Human Development"," ","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Very high human development","0.7","","1.2","","1.9","","1.9","","2.0","","2.7","","3.0","","3.7","","3.8","","-1.8",""
" ","High human development","-2.9","","-0.5","","-1.1","","-1.5","","-1.3","","-1.5","","-1.3","","-1.5","","-1.2","","-1.6",""
" ","Medium human development","-1.0","","-1.4","","-3.6","","-1.1","","-0.9","","-0.9","","-0.8","","-1.0","","-1.1","","-3.3",""
" ","Low human development","-13.1","","-9.7","","-3.3","","-2.3","","-4.1","","-1.2","","-2.9","","-1.9","","-1.8","","-1.8",""
" ","Developing Countries","-1.2","","-0.9","","-1.3","","-1.3","","-1.1","","-1.2","","-1.1","","-1.2","","-1.0","","-1.6",""
"","Regions"," ","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Arab States","-3.3","","-0.6","","-0.6","","-1.3","","-1.2","","-1.1","","-0.8","","-1.5","","-0.7","","-1.5",""
" ","East Asia and the Pacific","-3.0","","-0.8","","-1.4","","-1.7","","-1.6","","-1.9","","-1.5","","-1.5","","-1.5","","-1.4",""
" ","Europe and Central Asia","-2.8","","-0.4","","-1.4","","-1.7","","-1.5","","-1.4","","-2.1","","-2.0","","-1.8","","-7.6",""
" ","Latin America and the Caribbean","-0.4","","0.2","","0.9","","-0.1","","-0.1","","-0.7","","-0.5","","-0.6","","-0.1","","-0.6",""
" ","South Asia","-0.6","","-1.2","","-1.1","","-0.9","","-0.7","","-0.7","","-0.7","","-0.7","","-0.8","","-6.1",""
" ","Sub-Saharan Africa","-11.4","","-16.6","","-8.6","","-5.3","","-1.5","","-0.0","","0.5","","-2.4","","-0.0","","-1.8",""
" ","Least Developed Countries","-11.6","","-2.3","","-2.6","","-2.6","","-2.7","","-1.5","","-2.7","","-1.5","","-1.7","","-2.2",""
" ","Small Island Developing States","-1.7","","1.9","","1.8","","1.2","","1.6","","-18.2","","-1.4","","0.5","","4.5","","0.3",""
" ","Organization for Economic Co-operation and Development","1.5","","1.9","","2.8","","3.0","","3.0","","3.0","","3.7","","4.1","","4.2","","..",""
" ","World","0.1","","0.1","","-0.2","","-0.3","","-0.2","","0.3","","0.4","","0.6","","0.7","","-1.6",""
""
