"Concentration index (exports) (value)"
"HDI Rank (2018)","Country","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"39","Latvia","0.081","","0.082","","0.088","","0.091","","0.096","","0.087","","0.085","","0.101",""
"93","Lebanon","0.122","","0.154","","0.209","","0.119","","0.096","","0.096","","0.137","","0.193",""
"164","Lesotho","0.290","","0.288","","0.269","","0.272","","0.307","","0.282","","0.285","","0.339",""
"176","Liberia","0.417","","0.394","","0.345","","0.423","","0.449","","0.452","","0.330","","0.453",""
"110","Libya","0.789","","0.797","","0.822","","0.773","","0.728","","0.635","","0.571","","0.725",""
"34","Lithuania","0.188","","0.207","","0.200","","0.187","","0.142","","0.133","","0.112","","0.115",""
"21","Luxembourg","0.134","","0.133","","0.124","","0.115","","0.109","","0.102","","0.101","","0.101",""
"162","Madagascar","0.178","","0.242","","0.226","","0.223","","0.267","","0.294","","0.301","","0.346",""
"172","Malawi","0.533","","0.423","","0.497","","0.468","","0.481","","0.487","","0.519","","0.606",""
"61","Malaysia","0.165","","0.168","","0.164","","0.172","","0.178","","0.170","","0.174","","0.192",""
"104","Maldives","0.518","","0.705","","0.763","","0.800","","0.758","","0.710","","0.622","","0.611",""
"184","Mali","0.644","","0.590","","0.704","","0.703","","0.778","","0.703","","0.732","","0.610",""
"28","Malta","0.441","","0.440","","0.439","","0.415","","0.378","","0.361","","0.337","","0.243",""
"117","Marshall Islands","0.719","","0.707","","0.793","","0.727","","0.797","","0.728","","0.629","","0.688",""
"161","Mauritania","0.429","","0.419","","0.437","","0.468","","0.436","","0.363","","0.362","","0.370",""
"66","Mauritius","0.249","","0.241","","0.238","","0.248","","0.218","","0.211","","0.203","","0.210",""
"76","Mexico","0.148","","0.154","","0.146","","0.141","","0.130","","0.122","","0.124","","0.132",""
"135","Micronesia (Federated States of)","0.553","","0.597","","0.876","","0.723","","0.761","","0.738","","0.823","","0.786",""
"107","Moldova (Republic of)","0.145","","0.135","","0.142","","0.151","","0.146","","0.167","","0.164","","0.174",""
"92","Mongolia","0.504","","0.515","","0.517","","0.373","","0.468","","0.496","","0.400","","0.433",""
"52","Montenegro","0.371","","0.389","","0.339","","0.302","","0.234","","0.223","","0.212","","0.207",""
"121","Morocco","0.156","","0.167","","0.162","","0.155","","0.159","","0.166","","0.173","","0.176",""
"180","Mozambique","0.522","","0.411","","0.313","","0.293","","0.281","","0.318","","0.276","","0.302",""
"145","Myanmar","0.375","","0.337","","0.328","","0.318","","0.380","","0.390","","0.289","","0.242",""
"130","Namibia","0.223","","0.235","","0.254","","0.230","","0.254","","0.300","","0.265","","0.257",""
"..","Nauru","0.631","","0.905","","0.932","","0.709","","0.555","","0.637","","0.707","","0.533",""
"147","Nepal","0.144","","0.143","","0.142","","0.136","","0.133","","0.138","","0.140","","0.146",""
"10","Netherlands","0.120","","0.104","","0.117","","0.112","","0.098","","0.082","","0.073","","0.075",""
"14","New Zealand","0.156","","0.171","","0.171","","0.193","","0.202","","0.169","","0.161","","0.175",""
"126","Nicaragua","0.214","","0.219","","0.199","","0.206","","0.219","","0.226","","0.236","","0.226",""
"189","Niger","0.377","","0.414","","0.400","","0.348","","0.407","","0.393","","0.301","","0.350",""
"158","Nigeria","0.801","","0.790","","0.771","","0.805","","0.779","","0.736","","0.772","","0.761",""
"82","North Macedonia","0.143","","0.168","","0.164","","0.172","","0.189","","0.205","","0.218","","0.215",""
"1","Norway","0.391","","0.405","","0.406","","0.393","","0.377","","0.334","","0.315","","0.329",""
"47","Oman","0.583","","0.602","","0.509","","0.496","","0.620","","0.531","","0.491","","0.396",""
"152","Pakistan","0.199","","0.184","","0.183","","0.189","","0.193","","0.202","","0.214","","0.210",""
"55","Palau","0.869","","0.919","","0.808","","0.711","","0.691","","0.470","","0.593","","0.654",""
"119","Palestine, State of","0.171","","0.179","","0.166","","0.162","","0.189","","0.186","","0.192","","0.181",""
"67","Panama","0.145","","0.149","","0.131","","0.126","","0.128","","0.148","","0.145","","0.142",""
"155","Papua New Guinea","0.365","","0.300","","0.290","","0.304","","0.279","","0.305","","0.280","","0.278",""
"98","Paraguay","0.361","","0.378","","0.320","","0.342","","0.342","","0.317","","0.335","","0.348",""
"82","Peru","0.272","","0.266","","0.266","","0.250","","0.227","","0.248","","0.282","","0.299",""
"106","Philippines","0.313","","0.245","","0.223","","0.225","","0.231","","0.279","","0.287","","0.242",""
"32","Poland","0.077","","0.072","","0.065","","0.064","","0.065","","0.065","","0.067","","0.064",""
"40","Portugal","0.075","","0.079","","0.080","","0.088","","0.079","","0.078","","0.072","","0.074",""
"41","Qatar","0.516","","0.528","","0.532","","0.529","","0.527","","0.519","","0.483","","0.500",""
"52","Romania","0.094","","0.091","","0.091","","0.098","","0.099","","0.103","","0.112","","0.114",""
"49","Russian Federation","0.366","","0.377","","0.382","","0.377","","0.370","","0.316","","0.305","","0.292",""
"157","Rwanda","0.428","","0.500","","0.393","","0.455","","0.375","","0.306","","0.344","","0.364",""
"73","Saint Kitts and Nevis","0.342","","0.314","","0.331","","0.308","","0.309","","0.335","","0.306","","0.276",""
"89","Saint Lucia","0.256","","0.341","","0.385","","0.412","","0.540","","0.323","","0.454","","0.169",""
"94","Saint Vincent and the Grenadines","0.627","","0.458","","0.374","","0.294","","0.445","","0.263","","0.661","","0.464",""
"111","Samoa","0.441","","0.432","","0.341","","0.301","","0.309","","0.358","","0.369","","0.362",""
"137","Sao Tome and Principe","0.379","","0.433","","0.438","","0.607","","0.588","","0.652","","0.772","","0.619",""
"36","Saudi Arabia","0.692","","0.725","","0.719","","0.742","","0.703","","0.549","","0.589","","0.583",""
"166","Senegal","0.264","","0.239","","0.248","","0.241","","0.235","","0.229","","0.216","","0.226",""
"63","Serbia","0.077","","0.074","","0.068","","0.114","","0.106","","0.091","","0.087","","0.081",""
"62","Seychelles","0.491","","0.422","","0.576","","0.628","","0.580","","0.503","","0.514","","0.467",""
"181","Sierra Leone","0.244","","0.244","","0.293","","0.439","","0.699","","0.354","","0.257","","0.303",""
"9","Singapore","0.260","","0.263","","0.248","","0.255","","0.254","","0.235","","0.229","","0.240",""
"36","Slovakia","0.159","","0.156","","0.166","","0.172","","0.174","","0.183","","0.196","","0.188",""
"24","Slovenia","0.166","","0.162","","0.156","","0.158","","0.156","","0.166","","0.161","","0.172",""
"153","Solomon Islands","0.681","","0.578","","0.559","","0.596","","0.657","","0.606","","0.706","","0.649",""
"..","Somalia","0.630","","0.618","","0.752","","0.722","","0.752","","0.744","","0.670","","0.435",""
"113","South Africa","0.136","","0.153","","0.136","","0.135","","0.124","","0.122","","0.121","","0.128",""
"25","Spain","0.096","","0.095","","0.091","","0.092","","0.092","","0.102","","0.107","","0.100",""
"71","Sri Lanka","0.212","","0.202","","0.203","","0.214","","0.204","","0.204","","0.201","","0.192",""
"168","Sudan","..","","..","","0.558","","0.671","","0.639","","0.423","","0.445","","0.439",""
"98","Suriname","0.491","","0.494","","0.517","","0.502","","0.460","","0.586","","0.709","","0.641",""
"8","Sweden","0.096","","0.096","","0.095","","0.091","","0.091","","0.089","","0.091","","0.090",""
"2","Switzerland","0.166"," a","0.168"," a","0.282"," a","0.354"," a","0.256"," a","0.267"," a","0.288"," a","0.258"," a"
"154","Syrian Arab Republic","0.290","","0.283","","0.261","","0.286","","0.167","","0.264","","0.230","","0.376",""
"125","Tajikistan","0.505","","0.467","","0.500","","0.480","","0.353","","0.360","","0.339","","0.305",""
"159","Tanzania (United Republic of)","0.222","","0.287","","0.336","","0.316","","0.247","","0.251","","0.314","","0.302",""
"77","Thailand","0.086","","0.080","","0.082","","0.079","","0.076","","0.077","","0.078","","0.072",""
"131","Timor-Leste","0.420","","0.395","","0.881","","0.644","","0.533","","0.866","","0.426","","0.580",""
"167","Togo","0.213","","0.199","","0.238","","0.240","","0.231","","0.202","","0.220","","0.251",""
"105","Tonga","0.302","","0.283","","0.324","","0.346","","0.318","","0.346","","0.339","","0.355",""
"63","Trinidad and Tobago","0.332","","0.346","","0.331","","0.378","","0.362","","0.333","","0.368","","0.332",""
"91","Tunisia","0.162","","0.165","","0.152","","0.149","","0.146","","0.141","","0.134","","0.141",""
"59","Turkey","0.074","","0.074","","0.092","","0.069","","0.069","","0.073","","0.078","","0.080",""
"108","Turkmenistan","0.344","","0.553","","0.585","","0.571","","0.580","","0.620","","0.597","","0.667",""
"..","Tuvalu","0.458","","0.751","","0.621","","0.735","","0.525","","0.586","","0.577","","0.553",""
"159","Uganda","0.195","","0.218","","0.167","","0.187","","0.184","","0.177","","0.204","","0.235",""
"88","Ukraine","0.130","","0.132","","0.121","","0.120","","0.127","","0.135","","0.146","","0.142",""
"35","United Arab Emirates","0.345","","0.389","","0.349","","0.342","","0.335","","0.263","","0.243","","0.237",""
"15","United Kingdom","0.111","","0.133","","0.118","","0.152","","0.111","","0.112","","0.108","","0.108",""
"15","United States","0.082","","0.083","","0.090","","0.095","","0.095","","0.097","","0.099","","0.097",""
"57","Uruguay","0.179","","0.178","","0.206","","0.228","","0.215","","0.218","","0.228","","0.231",""
"108","Uzbekistan","0.245","","0.239","","0.255","","0.280","","0.265","","0.308","","0.352","","0.403",""
"141","Vanuatu","0.531","","0.730","","0.601","","0.437","","0.482","","0.406","","0.529","","0.408",""
"96","Venezuela (Bolivarian Republic of)","0.681","","0.707","","0.762","","0.770","","0.752","","0.739","","0.731","","0.736",""
"118","Viet Nam","0.112","","0.118","","0.137","","0.168","","0.165","","0.191","","0.204","","0.220",""
"177","Yemen","0.695","","0.625","","0.646","","0.539","","0.560","","0.441","","0.410","","0.352",""
"143","Zambia","0.655","","0.680","","0.642","","0.617","","0.652","","0.628","","0.664","","0.668",""
